asset_id,failure_event_id,event_date,downtime_hours,truck_roll_cost,repair_cost,estimated_customers_impacted,estimated_revenue_loss,sla_breach_flag,notes
GEN_0018,FAIL_000086,2023-10-20,5.52,113.89,751.96,20,2057.99,0,Synthetic business impact estimate
GEN_0018,FAIL_000087,2023-10-27,2.53,138.14,850.09,5,490.76,0,Synthetic business impact estimate
GEN_0018,FAIL_000088,2023-11-17,8.06,194.91,2015.07,4,1181.89,0,Synthetic business impact estimate
GEN_0018,FAIL_000089,2024-07-13,2.43,153.12,536.38,14,868.26,0,Synthetic business impact estimate
GEN_0018,FAIL_000090,2025-02-24,4.67,195.37,722.43,3,284.65,0,Synthetic business impact estimate
GEN_0018,FAIL_000091,2025-05-21,6.83,192.49,841.21,12,3111.25,0,Synthetic business impact estimate
GEN_0018,FAIL_000092,2025-06-10,9.7,183.9,1309.2,17,5160.14,0,Synthetic business impact estimate
GEN_0018,FAIL_000093,2025-09-23,8.52,308.2,1084.79,20,3643.83,0,Synthetic business impact estimate
GEN_0019,FAIL_000094,2023-04-11,8.54,167.82,1486.93,18,4036.07,1,Synthetic business impact estimate
GEN_0019,FAIL_000095,2023-08-24,10.21,184.04,1165.94,29,6236.71,1,Synthetic business impact estimate
GEN_0019,FAIL_000096,2024-09-03,4.72,199.36,789.78,10,1194.06,0,Synthetic business impact estimate
GEN_0020,FAIL_000097,2025-01-06,3.91,241.32,1305.76,7,731.78,0,Synthetic business impact estimate
GEN_0020,FAIL_000098,2025-10-09,4.68,163.18,1029.0,4,493.42,0,Synthetic business impact estimate
GEN_0021,FAIL_000099,2023-04-27,3.22,183.84,826.95,9,1047.48,0,Synthetic business impact estimate
GEN_0021,FAIL_000100,2023-05-30,5.61,107.28,920.58,9,1935.07,0,Synthetic business impact estimate
GEN_0021,FAIL_000101,2023-12-18,4.77,162.53,1444.0,8,1176.64,0,Synthetic business impact estimate
GEN_0021,FAIL_000102,2024-04-09,13.51,167.78,1555.88,10,4883.2,0,Synthetic business impact estimate
GEN_0021,FAIL_000103,2025-06-17,7.25,232.64,695.48,3,485.34,0,Synthetic business impact estimate
GEN_0022,FAIL_000104,2023-04-23,1.01,187.64,787.49,3,89.29,0,Synthetic business impact estimate
GEN_0022,FAIL_000105,2023-09-29,5.65,172.21,881.54,13,2234.71,0,Synthetic business impact estimate
GEN_0022,FAIL_000106,2023-10-02,4.79,130.16,556.04,20,3874.59,0,Synthetic business impact estimate
GEN_0022,FAIL_000107,2024-04-25,9.96,124.73,1163.25,3,1169.69,0,Synthetic business impact estimate
GEN_0022,FAIL_000108,2024-08-12,8.31,197.14,1510.64,6,1883.27,0,Synthetic business impact estimate
GEN_0022,FAIL_000109,2024-12-03,9.5,179.78,1456.22,17,6558.62,0,Synthetic business impact estimate
GEN_0022,FAIL_000110,2024-12-10,10.66,169.45,1181.82,11,2115.0,0,Synthetic business impact estimate
GEN_0022,FAIL_000111,2025-02-13,9.75,180.43,1533.02,3,690.28,0,Synthetic business impact estimate
GEN_0022,FAIL_000112,2025-07-30,4.14,229.95,546.34,3,410.25,0,Synthetic business impact estimate
GEN_0023,FAIL_000113,2024-01-16,1.6,270.64,865.54,9,430.65,0,Synthetic business impact estimate
GEN_0023,FAIL_000114,2025-01-17,5.17,237.01,525.96,3,632.06,0,Synthetic business impact estimate
GEN_0023,FAIL_000115,2025-09-25,6.81,164.69,618.71,13,3609.09,0,Synthetic business impact estimate
GEN_0024,FAIL_000116,2023-09-18,4.98,209.51,1071.17,25,4367.07,0,Synthetic business impact estimate
GEN_0024,FAIL_000117,2023-09-27,9.36,113.83,1759.97,34,7393.63,1,Synthetic business impact estimate
GEN_0024,FAIL_000118,2024-02-20,1.0,141.23,1035.03,3,111.94,0,Synthetic business impact estimate
GEN_0024,FAIL_000119,2024-06-19,7.26,138.52,1347.09,14,2256.14,1,Synthetic business impact estimate
GEN_0024,FAIL_000120,2025-03-08,6.88,187.99,1420.77,17,3899.57,1,Synthetic business impact estimate
GEN_0025,FAIL_000121,2024-10-23,16.32,160.37,1691.06,8,2816.62,0,Synthetic business impact estimate
GEN_0026,FAIL_000122,2023-06-02,7.72,174.73,1232.38,14,4445.06,0,Synthetic business impact estimate
GEN_0026,FAIL_000123,2023-09-09,4.76,199.19,629.89,17,2098.53,0,Synthetic business impact estimate
GEN_0026,FAIL_000124,2024-09-16,5.0,157.78,992.18,16,2674.35,0,Synthetic business impact estimate
GEN_0026,FAIL_000125,2025-06-22,1.0,198.33,529.29,5,188.02,0,Synthetic business impact estimate
GEN_0026,FAIL_000126,2025-12-17,7.03,252.5,1505.38,4,986.31,0,Synthetic business impact estimate
GEN_0027,FAIL_000127,2023-02-20,6.8,167.98,1166.84,24,3349.31,1,Synthetic business impact estimate
GEN_0027,FAIL_000128,2023-05-01,5.25,98.66,499.8,11,1751.2,0,Synthetic business impact estimate
GEN_0027,FAIL_000129,2023-05-26,11.34,216.27,1707.65,31,14508.1,1,Synthetic business impact estimate
GEN_0027,FAIL_000130,2024-06-12,8.82,173.55,623.82,18,3200.27,1,Synthetic business impact estimate
GEN_0027,FAIL_000131,2024-08-07,2.17,253.78,897.1,9,746.12,0,Synthetic business impact estimate
GEN_0027,FAIL_000132,2024-11-29,3.27,174.6,261.8,19,2409.42,0,Synthetic business impact estimate
GEN_0027,FAIL_000133,2024-12-10,3.02,183.3,625.3,23,2433.73,0,Synthetic business impact estimate
GEN_0027,FAIL_000134,2025-10-02,4.24,246.58,943.61,19,2499.01,0,Synthetic business impact estimate
GEN_0028,FAIL_000135,2023-04-27,10.07,130.68,1369.98,3,1257.22,0,Synthetic business impact estimate
GEN_0028,FAIL_000136,2023-08-06,3.93,134.04,443.93,3,388.22,0,Synthetic business impact estimate
GEN_0028,FAIL_000137,2025-02-12,5.49,203.43,1293.54,11,1806.78,0,Synthetic business impact estimate
GEN_0028,FAIL_000138,2025-04-26,1.58,142.39,873.13,3,142.39,0,Synthetic business impact estimate
GEN_0028,FAIL_000139,2025-09-29,11.31,170.33,1800.68,6,1929.03,0,Synthetic business impact estimate
GEN_0029,FAIL_000140,2023-07-24,2.79,209.84,1246.49,22,2078.08,0,Synthetic business impact estimate
GEN_0029,FAIL_000141,2024-03-03,6.82,277.81,946.76,8,1507.77,0,Synthetic business impact estimate
GEN_0029,FAIL_000142,2024-03-27,5.98,187.78,1580.59,8,980.85,0,Synthetic business impact estimate
GEN_0029,FAIL_000143,2024-07-28,9.1,127.52,773.2,3,913.14,0,Synthetic business impact estimate
GEN_0029,FAIL_000144,2025-04-08,4.98,156.17,999.29,8,1032.58,0,Synthetic business impact estimate
GEN_0030,FAIL_000145,2023-10-22,6.32,136.23,990.41,31,7819.05,1,Synthetic business impact estimate
GEN_0030,FAIL_000146,2024-06-09,8.51,221.99,1324.74,27,4985.09,1,Synthetic business impact estimate
GEN_0030,FAIL_000147,2024-06-16,6.95,149.11,1107.1,14,3306.97,1,Synthetic business impact estimate
GEN_0030,FAIL_000148,2025-04-06,4.82,168.78,1150.53,33,6068.47,0,Synthetic business impact estimate
GEN_0030,FAIL_000149,2025-05-25,5.46,166.03,1420.71,22,2964.16,0,Synthetic business impact estimate
GEN_0031,FAIL_000150,2023-08-27,15.23,116.41,1807.28,18,6785.0,0,Synthetic business impact estimate
GEN_0031,FAIL_000151,2023-09-09,6.57,160.86,1159.69,18,3624.35,0,Synthetic business impact estimate
GEN_0031,FAIL_000152,2024-05-17,7.35,232.17,1183.84,16,2624.29,0,Synthetic business impact estimate
GEN_0031,FAIL_000153,2025-01-26,8.84,235.2,1262.99,27,8490.16,0,Synthetic business impact estimate
GEN_0031,FAIL_000154,2025-04-19,3.89,239.62,853.37,9,1171.95,0,Synthetic business impact estimate
GEN_0031,FAIL_000155,2025-09-20,11.73,186.16,1559.79,16,4281.57,0,Synthetic business impact estimate
GEN_0032,FAIL_000156,2023-05-08,6.99,206.86,1393.17,6,1115.19,0,Synthetic business impact estimate
GEN_0032,FAIL_000157,2023-12-21,6.49,88.98,1406.49,12,1508.92,0,Synthetic business impact estimate
GEN_0032,FAIL_000158,2024-04-03,6.08,191.17,779.55,7,1233.47,0,Synthetic business impact estimate
GEN_0032,FAIL_000159,2024-09-08,5.4,217.95,1036.85,9,1313.29,0,Synthetic business impact estimate
GEN_0032,FAIL_000160,2024-09-23,5.98,180.39,1173.79,6,1134.45,0,Synthetic business impact estimate
GEN_0032,FAIL_000161,2025-05-12,7.36,139.88,1380.85,14,4143.18,0,Synthetic business impact estimate
GEN_0032,FAIL_000162,2025-05-19,13.55,167.08,1683.56,11,5332.68,0,Synthetic business impact estimate
GEN_0033,FAIL_000163,2023-02-25,7.76,184.97,1839.07,17,2450.57,0,Synthetic business impact estimate
GEN_0033,FAIL_000164,2024-11-01,5.95,144.46,120.0,28,4608.76,0,Synthetic business impact estimate
GEN_0033,FAIL_000165,2025-01-28,7.89,225.92,1716.11,3,488.47,0,Synthetic business impact estimate
GEN_0033,FAIL_000166,2025-06-10,6.99,219.86,1325.55,17,3289.0,0,Synthetic business impact estimate
GEN_0033,FAIL_000167,2025-09-04,5.91,285.92,849.0,7,855.69,0,Synthetic business impact estimate
GEN_0033,FAIL_000168,2025-09-25,6.43,180.76,902.45,3,630.73,0,Synthetic business impact estimate
GEN_0033,FAIL_000169,2025-12-14,6.53,149.98,795.25,3,754.72,0,Synthetic business impact estimate
GEN_0034,FAIL_000170,2024-05-10,7.2,195.6,964.51,8,2265.01,0,Synthetic business impact estimate
GEN_0034,FAIL_000171,2024-05-27,3.44,165.91,971.16,3,395.42,0,Synthetic business impact estimate
GEN_0034,FAIL_000172,2024-09-16,4.28,169.69,1026.59,30,3289.8,0,Synthetic business impact estimate
GEN_0034,FAIL_000173,2025-03-15,12.31,132.92,1473.39,7,2676.44,0,Synthetic business impact estimate
GEN_0035,FAIL_000174,2023-07-02,4.69,181.79,1542.53,26,3431.03,0,Synthetic business impact estimate
GEN_0035,FAIL_000175,2023-07-21,5.12,217.08,1100.03,18,2164.0,0,Synthetic business impact estimate
GEN_0035,FAIL_000176,2023-10-15,8.33,173.47,1380.14,17,4291.92,1,Synthetic business impact estimate
GEN_0035,FAIL_000177,2023-12-25,13.31,218.18,1074.31,36,11343.85,1,Synthetic business impact estimate
GEN_0035,FAIL_000178,2024-07-15,4.79,206.94,1005.68,30,2901.01,0,Synthetic business impact estimate
GEN_0035,FAIL_000179,2025-11-02,7.23,220.68,1433.39,18,4746.5,1,Synthetic business impact estimate
GEN_0036,FAIL_000180,2024-01-09,12.34,181.4,884.47,4,1780.03,0,Synthetic business impact estimate
GEN_0036,FAIL_000181,2024-06-13,6.22,138.87,641.75,8,1943.14,0,Synthetic business impact estimate
GEN_0036,FAIL_000182,2024-12-03,9.03,184.5,1313.59,15,4510.28,0,Synthetic business impact estimate
GEN_0036,FAIL_000183,2025-04-17,5.52,144.32,1480.84,5,928.02,0,Synthetic business impact estimate
GEN_0036,FAIL_000184,2025-08-02,5.4,224.98,786.95,3,510.97,0,Synthetic business impact estimate
GEN_0036,FAIL_000185,2025-11-04,10.78,116.33,1231.11,6,2299.94,0,Synthetic business impact estimate
GEN_0037,FAIL_000186,2023-04-12,6.13,167.13,741.8,32,7695.04,1,Synthetic business impact estimate
GEN_0037,FAIL_000187,2024-02-23,11.22,204.76,943.26,21,9780.19,1,Synthetic business impact estimate
GEN_0037,FAIL_000188,2024-03-15,8.51,196.01,1190.86,28,7041.56,1,Synthetic business impact estimate
GEN_0037,FAIL_000189,2024-04-29,3.07,188.53,812.8,17,957.09,0,Synthetic business impact estimate
GEN_0037,FAIL_000190,2024-05-21,8.17,200.76,1749.64,22,3370.1,1,Synthetic business impact estimate
GEN_0037,FAIL_000191,2025-06-18,1.88,190.97,600.25,6,417.95,0,Synthetic business impact estimate
GEN_0037,FAIL_000192,2025-07-27,8.43,259.28,1722.05,24,7008.95,1,Synthetic business impact estimate
GEN_0037,FAIL_000193,2025-10-17,3.14,153.39,553.42,5,482.0,0,Synthetic business impact estimate
GEN_0038,FAIL_000194,2023-12-13,2.44,161.98,957.2,3,179.83,0,Synthetic business impact estimate
GEN_0038,FAIL_000195,2024-05-02,1.0,195.39,966.07,11,285.82,0,Synthetic business impact estimate
GEN_0038,FAIL_000196,2024-10-22,1.0,128.33,1120.44,14,451.56,0,Synthetic business impact estimate
GEN_0038,FAIL_000197,2024-11-19,6.58,228.08,777.7,16,2970.8,0,Synthetic business impact estimate
GEN_0038,FAIL_000198,2025-07-09,9.48,286.12,1007.37,11,3442.11,0,Synthetic business impact estimate
GEN_0039,FAIL_000199,2024-08-11,5.97,174.75,969.41,32,7729.42,0,Synthetic business impact estimate
GEN_0039,FAIL_000200,2024-10-22,4.5,252.65,988.41,20,3583.97,0,Synthetic business impact estimate
GEN_0039,FAIL_000201,2025-04-07,12.1,159.24,1631.73,26,11773.8,1,Synthetic business impact estimate
GEN_0039,FAIL_000202,2025-04-17,9.95,169.13,994.03,22,8193.7,1,Synthetic business impact estimate
GEN_0039,FAIL_000203,2025-04-22,7.44,263.64,1099.07,21,3663.38,1,Synthetic business impact estimate
GEN_0039,FAIL_000204,2025-11-23,4.51,186.14,1261.09,29,2547.05,0,Synthetic business impact estimate
GEN_0040,FAIL_000205,2023-12-28,1.33,215.8,840.38,3,73.03,0,Synthetic business impact estimate
GEN_0040,FAIL_000206,2024-09-19,1.0,164.16,746.96,13,478.17,0,Synthetic business impact estimate
GEN_0041,FAIL_000207,2024-08-03,5.06,178.68,426.92,33,5775.12,0,Synthetic business impact estimate
GEN_0042,FAIL_000208,2023-04-25,9.71,102.25,1012.32,31,5847.05,1,Synthetic business impact estimate
GEN_0042,FAIL_000209,2023-08-11,9.81,228.86,1508.78,19,6393.69,1,Synthetic business impact estimate
GEN_0042,FAIL_000210,2023-10-13,11.53,129.51,1513.63,20,4444.81,1,Synthetic business impact estimate
GEN_0042,FAIL_000211,2023-12-03,4.29,99.81,1213.68,29,4362.06,0,Synthetic business impact estimate
GEN_0042,FAIL_000212,2025-03-15,7.55,227.71,736.82,14,4406.04,1,Synthetic business impact estimate
GEN_0042,FAIL_000213,2025-06-17,6.96,137.23,1837.59,21,5343.59,1,Synthetic business impact estimate
GEN_0043,FAIL_000214,2023-09-10,1.3,171.21,821.13,5,136.27,0,Synthetic business impact estimate
GEN_0043,FAIL_000215,2024-03-30,12.04,166.03,1216.11,5,1929.48,0,Synthetic business impact estimate
GEN_0043,FAIL_000216,2025-02-04,5.73,127.04,1233.71,10,1378.55,0,Synthetic business impact estimate
GEN_0043,FAIL_000217,2025-09-19,2.73,232.33,1154.19,9,855.52,0,Synthetic business impact estimate
GEN_0044,FAIL_000218,2023-05-14,10.22,153.57,1604.41,3,686.15,0,Synthetic business impact estimate
GEN_0044,FAIL_000219,2024-07-22,12.42,198.92,2000.89,24,11350.53,0,Synthetic business impact estimate
GEN_0044,FAIL_000220,2024-11-22,9.96,162.84,1087.11,3,895.35,0,Synthetic business impact estimate
GEN_0044,FAIL_000221,2025-03-18,4.92,226.64,1113.84,15,2200.19,0,Synthetic business impact estimate
GEN_0044,FAIL_000222,2025-09-11,4.72,198.89,1263.98,24,4105.45,0,Synthetic business impact estimate
GEN_0044,FAIL_000223,2025-09-26,5.3,114.96,1364.29,3,374.97,0,Synthetic business impact estimate
GEN_0044,FAIL_000224,2025-12-30,3.51,278.9,1364.56,3,367.67,0,Synthetic business impact estimate
GEN_0045,FAIL_000225,2025-01-25,2.88,137.54,586.22,18,2131.41,0,Synthetic business impact estimate
GEN_0045,FAIL_000226,2025-01-27,11.17,141.48,1024.6,7,2877.82,0,Synthetic business impact estimate
GEN_0045,FAIL_000227,2025-02-11,15.4,160.99,1885.15,3,1549.52,0,Synthetic business impact estimate
GEN_0045,FAIL_000228,2025-04-25,12.15,126.04,1072.99,32,9284.78,0,Synthetic business impact estimate
GEN_0045,FAIL_000229,2025-10-22,5.72,215.01,173.2,12,2392.63,0,Synthetic business impact estimate
GEN_0046,FAIL_000230,2023-03-25,5.97,80.0,708.73,21,2900.94,0,Synthetic business impact estimate
GEN_0046,FAIL_000231,2023-04-25,5.96,178.51,1108.33,16,3987.08,0,Synthetic business impact estimate
GEN_0046,FAIL_000232,2024-05-17,3.28,216.0,628.56,3,247.6,0,Synthetic business impact estimate
GEN_0046,FAIL_000233,2024-12-13,5.59,221.41,718.12,3,690.97,0,Synthetic business impact estimate
GEN_0046,FAIL_000234,2025-04-04,4.53,229.08,995.44,18,2571.51,0,Synthetic business impact estimate
GEN_0047,FAIL_000235,2024-09-02,6.2,207.38,1080.74,20,3050.16,0,Synthetic business impact estimate
GEN_0047,FAIL_000236,2025-09-10,5.01,181.87,506.76,11,1364.33,0,Synthetic business impact estimate
GEN_0048,FAIL_000237,2023-11-28,1.0,196.18,880.3,27,700.13,0,Synthetic business impact estimate
GEN_0048,FAIL_000238,2024-04-20,11.94,159.23,1350.69,9,3524.57,1,Synthetic business impact estimate
GEN_0048,FAIL_000239,2025-07-25,6.08,147.56,878.64,16,3731.51,1,Synthetic business impact estimate
GEN_0049,FAIL_000240,2023-04-25,9.76,104.64,1356.95,6,1586.6,0,Synthetic business impact estimate
GEN_0049,FAIL_000241,2024-01-06,8.47,199.77,2174.38,8,2387.04,0,Synthetic business impact estimate
GEN_0049,FAIL_000242,2024-04-16,14.93,164.01,1151.74,20,8163.25,0,Synthetic business impact estimate
GEN_0049,FAIL_000243,2025-01-14,10.81,196.5,1143.46,14,3778.3,0,Synthetic business impact estimate
GEN_0050,FAIL_000244,2023-07-04,8.13,211.8,952.83,3,472.52,0,Synthetic business impact estimate
GEN_0050,FAIL_000245,2024-07-17,2.62,211.0,983.77,3,180.3,0,Synthetic business impact estimate
GEN_0050,FAIL_000246,2024-08-15,9.46,162.24,1350.56,3,918.29,0,Synthetic business impact estimate
GEN_0050,FAIL_000247,2024-08-31,13.12,236.06,2278.54,8,1942.95,0,Synthetic business impact estimate
GEN_0050,FAIL_000248,2024-11-29,4.82,80.0,734.7,3,399.99,0,Synthetic business impact estimate
GEN_0050,FAIL_000249,2025-05-07,7.36,167.18,2036.58,11,2753.17,0,Synthetic business impact estimate
GEN_0051,FAIL_000250,2023-06-18,5.68,134.35,1206.18,6,709.49,0,Synthetic business impact estimate
