pm_event_id,asset_id,pm_date,next_failure_event_id,next_failure_date,days_to_next_failure,failure_found_flag,ontime_flag,delay_days,pm_total_cost,failure_total_cost,failure_category
PM_000084,GEN_0009,2024-10-12,FAIL_000047,2024-11-16,35.0,1,0,17,588.26,744.94,Battery
PM_000085,GEN_0009,2025-01-10,FAIL_000049,2025-10-22,285.0,1,0,9,818.57,897.07,Fuel
PM_000086,GEN_0009,2025-04-12,FAIL_000049,2025-10-22,193.0,1,1,6,954.52,897.07,Fuel
PM_000087,GEN_0009,2025-07-02,FAIL_000049,2025-10-22,112.0,1,1,-5,362.98,897.07,Fuel
PM_000088,GEN_0009,2025-10-02,FAIL_000049,2025-10-22,20.0,1,0,10,699.63,897.07,Fuel
PM_000089,GEN_0009,2026-01-20,,,,0,0,24,615.1,,
PM_000090,GEN_0010,2023-03-11,FAIL_000051,2024-12-14,644.0,1,1,6,885.95,1627.55,Fuel
PM_000091,GEN_0010,2023-06-20,FAIL_000051,2024-12-14,543.0,1,1,7,700.93,1627.55,Fuel
PM_000092,GEN_0010,2023-09-20,FAIL_000051,2024-12-14,451.0,1,0,12,876.05,1627.55,Fuel
PM_000093,GEN_0010,2024-01-05,FAIL_000051,2024-12-14,344.0,1,0,24,932.27,1627.55,Fuel
PM_000094,GEN_0010,2024-04-26,FAIL_000051,2024-12-14,232.0,1,0,24,663.51,1627.55,Fuel
PM_000095,GEN_0010,2024-07-20,FAIL_000051,2024-12-14,147.0,1,1,0,644.71,1627.55,Fuel
PM_000096,GEN_0010,2024-11-11,FAIL_000051,2024-12-14,33.0,1,0,14,948.89,1627.55,Fuel
PM_000097,GEN_0010,2025-02-09,FAIL_000053,2025-07-03,144.0,1,1,0,710.75,1232.77,Cooling
PM_000098,GEN_0010,2025-05-06,FAIL_000053,2025-07-03,58.0,1,1,-5,795.11,1232.77,Cooling
PM_000099,GEN_0010,2025-08-20,FAIL_000054,2025-09-09,20.0,1,0,16,784.28,796.42,Fuel
PM_000100,GEN_0010,2025-12-06,,,,0,0,12,726.37,,
PM_000101,GEN_0011,2023-03-28,FAIL_000055,2024-09-14,536.0,1,0,13,567.06,1212.93,Alternator
PM_000102,GEN_0011,2023-07-01,FAIL_000055,2024-09-14,441.0,1,1,4,573.87,1212.93,Alternator
PM_000103,GEN_0011,2023-10-05,FAIL_000055,2024-09-14,345.0,1,1,-5,420.54,1212.93,Alternator
PM_000104,GEN_0011,2024-01-15,FAIL_000055,2024-09-14,243.0,1,0,22,824.94,1212.93,Alternator
PM_000105,GEN_0011,2024-04-22,FAIL_000055,2024-09-14,145.0,1,1,0,575.75,1212.93,Alternator
PM_000106,GEN_0011,2024-07-27,FAIL_000055,2024-09-14,49.0,1,0,8,913.59,1212.93,Alternator
PM_000107,GEN_0011,2024-11-08,,,,0,1,3,510.79,,
PM_000108,GEN_0011,2025-02-25,,,,0,0,11,654.63,,
PM_000109,GEN_0011,2025-05-21,,,,0,1,-4,829.89,,
PM_000110,GEN_0011,2025-09-10,,,,0,0,16,566.63,,
PM_000111,GEN_0011,2026-01-16,,,,0,0,26,278.53,,
PM_000112,GEN_0012,2023-02-28,FAIL_000057,2023-05-12,73.0,1,1,7,642.25,1948.1,Alternator
PM_000113,GEN_0012,2023-07-11,FAIL_000058,2024-01-20,193.0,1,1,1,770.74,1079.13,Fuel
PM_000114,GEN_0012,2023-11-10,FAIL_000058,2024-01-20,71.0,1,1,-1,733.39,1079.13,Fuel
PM_000115,GEN_0012,2024-03-11,FAIL_000059,2024-10-05,208.0,1,1,-1,365.17,1521.84,Alternator
PM_000116,GEN_0012,2024-07-23,FAIL_000059,2024-10-05,74.0,1,0,9,755.55,1521.84,Alternator
PM_000117,GEN_0012,2024-11-12,FAIL_000060,2025-01-01,50.0,1,1,-3,311.62,522.44,Oil
PM_000118,GEN_0012,2025-03-08,,,,0,1,0,467.31,,
PM_000119,GEN_0012,2025-06-21,,,,0,1,-5,700.48,,
PM_000120,GEN_0012,2025-10-31,,,,0,0,15,527.07,,
PM_000121,GEN_0013,2023-02-20,FAIL_000061,2023-06-23,123.0,1,1,-5,572.26,303.04,Starter
PM_000122,GEN_0013,2023-05-20,FAIL_000061,2023-06-23,34.0,1,0,8,530.14,303.04,Starter
PM_000123,GEN_0013,2023-08-18,FAIL_000062,2023-12-25,129.0,1,1,-5,459.29,1261.69,Alternator
PM_000124,GEN_0013,2023-11-27,FAIL_000062,2023-12-25,28.0,1,1,1,517.66,1261.69,Alternator
PM_000125,GEN_0013,2024-02-23,FAIL_000063,2024-07-15,143.0,1,1,2,526.9,1166.85,Control Panel
PM_000126,GEN_0013,2024-05-26,FAIL_000063,2024-07-15,50.0,1,1,-3,721.0,1166.85,Control Panel
PM_000127,GEN_0013,2024-09-07,FAIL_000064,2024-10-16,39.0,1,1,6,390.93,1232.4,Oil
PM_000128,GEN_0013,2024-12-18,FAIL_000066,2025-02-05,49.0,1,1,7,443.48,1099.97,Control Panel
PM_000129,GEN_0013,2025-03-24,,,,0,1,-5,701.71,,
PM_000130,GEN_0013,2025-07-10,,,,0,0,29,756.19,,
PM_000131,GEN_0013,2025-10-21,,,,0,0,9,522.06,,
PM_000132,GEN_0014,2023-03-03,FAIL_000067,2024-10-28,605.0,1,1,-5,545.12,1403.62,Oil
PM_000133,GEN_0014,2023-06-05,FAIL_000067,2024-10-28,511.0,1,1,-2,613.05,1403.62,Oil
PM_000134,GEN_0014,2023-09-17,FAIL_000067,2024-10-28,407.0,1,0,12,298.23,1403.62,Oil
PM_000135,GEN_0014,2023-12-17,FAIL_000067,2024-10-28,316.0,1,1,5,620.27,1403.62,Oil
PM_000136,GEN_0014,2024-03-08,FAIL_000067,2024-10-28,234.0,1,1,4,917.76,1403.62,Oil
PM_000137,GEN_0014,2024-05-30,FAIL_000067,2024-10-28,151.0,1,1,1,541.53,1403.62,Oil
PM_000138,GEN_0014,2024-09-06,FAIL_000067,2024-10-28,52.0,1,0,18,713.22,1403.62,Oil
PM_000139,GEN_0014,2024-12-05,FAIL_000070,2025-07-07,214.0,1,1,-2,745.68,1188.34,Cooling
PM_000140,GEN_0014,2025-03-16,FAIL_000070,2025-07-07,113.0,1,1,4,496.62,1188.34,Cooling
PM_000141,GEN_0014,2025-06-07,FAIL_000070,2025-07-07,30.0,1,1,-3,627.73,1188.34,Cooling
PM_000142,GEN_0014,2025-10-02,FAIL_000072,2025-12-01,60.0,1,0,18,587.7,1707.5,Oil
PM_000143,GEN_0014,2026-01-02,,,,0,1,4,572.49,,
PM_000144,GEN_0015,2023-04-02,FAIL_000073,2023-07-19,108.0,1,0,23,817.67,1375.37,Oil
PM_000145,GEN_0015,2023-10-10,FAIL_000074,2023-10-29,19.0,1,0,22,394.75,600.38,Battery
PM_000146,GEN_0015,2024-03-28,FAIL_000075,2024-12-30,277.0,1,1,1,519.29,2757.98,Fuel
PM_000147,GEN_0015,2024-10-03,FAIL_000075,2024-12-30,88.0,1,1,-3,507.57,2757.98,Fuel
PM_000148,GEN_0015,2025-03-25,,,,0,1,-1,770.12,,
PM_000149,GEN_0015,2025-09-29,,,,0,0,15,857.01,,
PM_000150,GEN_0016,2023-03-06,FAIL_000076,2024-01-23,323.0,1,1,7,886.25,2190.65,Starter
PM_000151,GEN_0016,2023-06-09,FAIL_000076,2024-01-23,228.0,1,1,-2,421.25,2190.65,Starter
PM_000152,GEN_0016,2023-09-10,FAIL_000076,2024-01-23,135.0,1,0,10,690.16,2190.65,Starter
PM_000153,GEN_0016,2023-12-18,FAIL_000076,2024-01-23,36.0,1,0,14,950.4,2190.65,Starter
PM_000154,GEN_0016,2024-03-26,FAIL_000077,2025-03-28,367.0,1,0,20,297.33,1431.28,Fuel
PM_000155,GEN_0016,2024-06-23,FAIL_000077,2025-03-28,278.0,1,1,4,908.42,1431.28,Fuel
PM_000156,GEN_0016,2024-09-30,FAIL_000077,2025-03-28,179.0,1,1,2,765.53,1431.28,Fuel
PM_000157,GEN_0016,2025-01-24,FAIL_000077,2025-03-28,63.0,1,0,17,471.19,1431.28,Fuel
PM_000158,GEN_0016,2025-05-03,FAIL_000079,2025-05-23,20.0,1,1,3,630.16,808.54,Control Panel
PM_000159,GEN_0016,2025-08-18,FAIL_000080,2025-12-22,126.0,1,0,8,597.19,1646.88,Battery
PM_000160,GEN_0016,2025-11-15,FAIL_000080,2025-12-22,37.0,1,0,9,516.67,1646.88,Battery
PM_000161,GEN_0017,2023-04-19,FAIL_000081,2023-11-14,209.0,1,1,2,763.68,2430.71,Starter
PM_000162,GEN_0017,2023-09-07,FAIL_000081,2023-11-14,68.0,1,0,16,869.83,2430.71,Starter
PM_000163,GEN_0017,2024-01-23,FAIL_000082,2024-04-04,72.0,1,0,10,443.19,2059.38,Oil
PM_000164,GEN_0017,2024-06-11,FAIL_000083,2025-04-28,321.0,1,0,10,431.49,1885.13,Oil
PM_000165,GEN_0017,2024-10-11,FAIL_000083,2025-04-28,199.0,1,1,2,464.35,1885.13,Oil
PM_000166,GEN_0017,2025-02-23,FAIL_000083,2025-04-28,64.0,1,0,12,375.41,1885.13,Oil
PM_000167,GEN_0017,2025-06-30,FAIL_000084,2025-08-20,51.0,1,0,11,484.48,973.57,Battery
PM_000168,GEN_0017,2025-11-06,,,,0,1,4,699.84,,
PM_000169,GEN_0018,2023-02-22,FAIL_000085,2023-07-08,136.0,1,1,-1,595.98,1647.1,Battery
PM_000170,GEN_0018,2023-05-28,FAIL_000085,2023-07-08,41.0,1,1,1,645.75,1647.1,Battery
PM_000171,GEN_0018,2023-09-10,FAIL_000086,2023-10-20,40.0,1,0,23,373.67,865.85,Battery
PM_000172,GEN_0018,2023-12-21,FAIL_000089,2024-07-13,205.0,1,0,22,832.54,689.5,Cooling
PM_000173,GEN_0018,2024-03-16,FAIL_000089,2024-07-13,119.0,1,1,4,975.57,689.5,Cooling
PM_000174,GEN_0018,2024-06-18,FAIL_000089,2024-07-13,25.0,1,1,0,621.21,689.5,Cooling
PM_000175,GEN_0018,2024-09-19,FAIL_000090,2025-02-24,158.0,1,1,6,804.54,917.8,Fuel
PM_000176,GEN_0018,2025-01-03,FAIL_000090,2025-02-24,52.0,1,0,23,422.64,917.8,Fuel
PM_000177,GEN_0018,2025-04-19,FAIL_000091,2025-05-21,32.0,1,1,4,752.19,1033.7,Battery
PM_000178,GEN_0018,2025-08-03,FAIL_000093,2025-09-23,51.0,1,1,6,694.95,1392.99,Fuel
PM_000179,GEN_0018,2025-10-31,,,,0,1,7,560.36,,
PM_000180,GEN_0019,2023-01-15,FAIL_000094,2023-04-11,86.0,1,1,-3,711.83,1654.75,Oil
PM_000181,GEN_0019,2023-08-01,FAIL_000095,2023-08-24,23.0,1,1,6,919.75,1349.98,Cooling
PM_000182,GEN_0019,2024-02-03,FAIL_000096,2024-09-03,213.0,1,1,0,590.43,989.14,Fuel
PM_000183,GEN_0019,2024-08-24,FAIL_000096,2024-09-03,10.0,1,0,12,602.52,989.14,Fuel
PM_000184,GEN_0019,2025-02-04,,,,0,1,-5,591.49,,
PM_000185,GEN_0019,2025-08-16,,,,0,0,15,813.6,,
PM_000186,GEN_0020,2023-02-18,FAIL_000097,2025-01-06,688.0,1,1,4,438.57,1547.08,Battery
PM_000187,GEN_0020,2023-06-09,FAIL_000097,2025-01-06,577.0,1,1,1,612.68,1547.08,Battery
PM_000188,GEN_0020,2023-10-22,FAIL_000097,2025-01-06,442.0,1,0,8,774.9,1547.08,Battery
PM_000189,GEN_0020,2024-03-04,FAIL_000097,2025-01-06,308.0,1,1,7,634.73,1547.08,Battery
PM_000190,GEN_0020,2024-07-02,FAIL_000097,2025-01-06,188.0,1,1,0,560.69,1547.08,Battery
PM_000191,GEN_0020,2024-11-17,FAIL_000097,2025-01-06,50.0,1,0,12,619.18,1547.08,Battery
PM_000192,GEN_0020,2025-03-26,FAIL_000098,2025-10-09,197.0,1,1,7,683.28,1192.18,Starter
PM_000193,GEN_0020,2025-07-30,FAIL_000098,2025-10-09,71.0,1,0,17,207.23,1192.18,Starter
PM_000194,GEN_0020,2025-11-30,,,,0,1,-5,369.47,,
PM_000195,GEN_0021,2023-03-23,FAIL_000099,2023-04-27,35.0,1,1,-3,591.65,1010.79,Alternator
PM_000196,GEN_0021,2023-07-20,FAIL_000101,2023-12-18,151.0,1,0,18,632.22,1606.53,Cooling
PM_000197,GEN_0021,2023-11-10,FAIL_000101,2023-12-18,38.0,1,0,15,391.98,1606.53,Cooling
PM_000198,GEN_0021,2024-02-04,FAIL_000102,2024-04-09,65.0,1,1,2,343.5,1723.66,Alternator
PM_000199,GEN_0021,2024-04-30,FAIL_000103,2025-06-17,413.0,1,1,-5,659.42,928.12,Oil
PM_000200,GEN_0021,2024-08-19,FAIL_000103,2025-06-17,302.0,1,0,15,744.79,928.12,Oil
PM_000201,GEN_0021,2024-10-31,FAIL_000103,2025-06-17,229.0,1,1,-5,651.84,928.12,Oil
PM_000202,GEN_0021,2025-02-15,FAIL_000103,2025-06-17,122.0,1,0,28,625.26,928.12,Oil
PM_000203,GEN_0021,2025-05-17,FAIL_000103,2025-06-17,31.0,1,1,7,582.04,928.12,Oil
PM_000204,GEN_0021,2025-08-06,,,,0,1,3,769.75,,
PM_000205,GEN_0021,2025-11-30,,,,0,0,19,614.03,,
PM_000206,GEN_0022,2023-02-16,FAIL_000104,2023-04-23,66.0,1,0,12,741.74,975.13,Control Panel
PM_000207,GEN_0022,2023-05-17,FAIL_000105,2023-09-29,135.0,1,1,1,581.95,1053.75,Oil
PM_000208,GEN_0022,2023-09-01,FAIL_000105,2023-09-29,28.0,1,0,12,847.05,1053.75,Oil
PM_000209,GEN_0022,2023-12-12,FAIL_000107,2024-04-25,135.0,1,1,6,809.34,1287.98,Fuel
PM_000210,GEN_0022,2024-03-09,FAIL_000107,2024-04-25,47.0,1,1,-5,641.52,1287.98,Fuel
PM_000211,GEN_0022,2024-07-09,FAIL_000108,2024-08-12,34.0,1,0,20,731.97,1707.78,Starter
PM_000212,GEN_0022,2024-10-15,FAIL_000109,2024-12-03,49.0,1,0,15,739.63,1636.0,Starter
PM_000213,GEN_0022,2025-01-09,FAIL_000111,2025-02-13,35.0,1,1,0,459.21,1713.45,Cooling
PM_000214,GEN_0022,2025-03-27,FAIL_000112,2025-07-30,125.0,1,1,-5,541.14,776.29,Oil
PM_000215,GEN_0022,2025-06-23,FAIL_000112,2025-07-30,37.0,1,1,5,789.98,776.29,Oil
PM_000216,GEN_0022,2025-09-20,,,,0,1,-4,603.19,,
PM_000217,GEN_0022,2025-12-27,,,,0,0,14,563.53,,
PM_000218,GEN_0023,2023-02-18,FAIL_000113,2024-01-16,332.0,1,1,1,1054.83,1136.18,Alternator
PM_000219,GEN_0023,2023-07-02,FAIL_000113,2024-01-16,198.0,1,1,4,681.48,1136.18,Alternator
PM_000220,GEN_0023,2023-11-18,FAIL_000113,2024-01-16,59.0,1,0,11,482.66,1136.18,Alternator
PM_000221,GEN_0023,2024-04-04,FAIL_000114,2025-01-17,288.0,1,0,13,768.16,762.97,Cooling
PM_000222,GEN_0023,2024-08-05,FAIL_000114,2025-01-17,165.0,1,1,-3,394.24,762.97,Cooling
PM_000223,GEN_0023,2024-12-06,FAIL_000114,2025-01-17,42.0,1,1,-5,797.41,762.97,Cooling
PM_000224,GEN_0023,2025-04-07,FAIL_000115,2025-09-25,171.0,1,1,-2,598.74,783.4,Fuel
PM_000225,GEN_0023,2025-07-30,FAIL_000115,2025-09-25,57.0,1,1,3,755.66,783.4,Fuel
PM_000226,GEN_0023,2025-11-19,,,,0,1,3,818.11,,
PM_000227,GEN_0024,2023-02-16,FAIL_000116,2023-09-18,214.0,1,1,3,861.55,1280.68,Control Panel
PM_000228,GEN_0024,2023-07-03,FAIL_000116,2023-09-18,77.0,1,0,8,353.41,1280.68,Control Panel
PM_000229,GEN_0024,2023-11-26,FAIL_000118,2024-02-20,86.0,1,0,14,656.54,1176.26,Cooling
PM_000230,GEN_0024,2024-04-09,FAIL_000119,2024-06-19,71.0,1,0,16,660.46,1485.61,Cooling
PM_000231,GEN_0024,2024-08-18,FAIL_000120,2025-03-08,202.0,1,1,6,951.05,1608.76,Oil
PM_000232,GEN_0024,2024-12-03,FAIL_000120,2025-03-08,95.0,1,1,-5,678.34,1608.76,Oil
PM_000233,GEN_0024,2025-04-08,,,,0,1,5,526.17,,
PM_000234,GEN_0024,2025-08-24,,,,0,0,8,816.59,,
PM_000235,GEN_0025,2023-02-27,FAIL_000121,2024-10-23,604.0,1,1,-4,416.17,1851.43,Alternator
PM_000236,GEN_0025,2023-09-06,FAIL_000121,2024-10-23,413.0,1,0,10,799.44,1851.43,Alternator
PM_000237,GEN_0025,2024-02-18,FAIL_000121,2024-10-23,248.0,1,1,-3,726.57,1851.43,Alternator
PM_000238,GEN_0025,2024-09-09,FAIL_000121,2024-10-23,44.0,1,0,19,464.98,1851.43,Alternator
PM_000239,GEN_0025,2025-02-21,,,,0,1,-5,601.84,,
PM_000240,GEN_0025,2025-09-01,,,,0,1,6,543.71,,
PM_000241,GEN_0026,2023-03-30,FAIL_000122,2023-06-02,64.0,1,0,11,840.49,1407.11,Battery
PM_000242,GEN_0026,2023-08-08,FAIL_000123,2023-09-09,32.0,1,0,19,515.8,829.08,Battery
PM_000243,GEN_0026,2023-11-24,FAIL_000124,2024-09-16,297.0,1,1,-5,715.71,1149.96,Alternator
PM_000244,GEN_0026,2024-03-25,FAIL_000124,2024-09-16,175.0,1,1,-1,720.46,1149.96,Alternator
PM_000245,GEN_0026,2024-07-27,FAIL_000124,2024-09-16,51.0,1,1,4,308.76,1149.96,Alternator
PM_000246,GEN_0026,2024-12-06,FAIL_000125,2025-06-22,198.0,1,0,11,565.99,727.62,Oil
PM_000247,GEN_0026,2025-05-08,FAIL_000125,2025-06-22,45.0,1,0,21,282.11,727.62,Oil
PM_000248,GEN_0026,2025-09-13,FAIL_000126,2025-12-17,95.0,1,0,11,821.89,1757.88,Battery
PM_000249,GEN_0027,2023-01-20,FAIL_000127,2023-02-20,31.0,1,1,0,635.67,1334.82,Battery
PM_000250,GEN_0027,2023-04-13,FAIL_000128,2023-05-01,18.0,1,1,-5,363.33,598.46,Control Panel
PM_000251,GEN_0027,2023-07-09,FAIL_000130,2024-06-12,339.0,1,1,3,617.23,797.37,Battery
PM_000252,GEN_0027,2023-10-16,FAIL_000130,2024-06-12,240.0,1,1,3,775.56,797.37,Battery
