pm_event_id,asset_id,scheduled_date,completed_date,pm_date,pm_type,status,delay_days,ontime_flag,priority,labor_hours,labor_cost,material_cost,other_costs,total_cost,age_years_at_pm,region,environment_type,model
PM_000077,GEN_0008,2025-12-12,2025-12-12,2025-12-12,Quarterly Service,Completed,0,1,High,4.12,318.48,126.49,30.09,475.06,2.9,West,Hot-Dry,CAT-450
PM_000078,GEN_0009,2023-01-07,2023-01-26,2023-01-26,Load Bank Test,Completed,19,0,Normal,7.2,598.51,290.17,43.17,931.85,7.7,Central,Coastal,CUM-500
PM_000079,GEN_0009,2023-05-03,2023-05-10,2023-05-10,Load Bank Test,Completed,7,1,Normal,8.38,625.71,25.0,33.0,683.71,7.98,Central,Coastal,CUM-500
PM_000080,GEN_0009,2023-08-14,2023-08-16,2023-08-16,Routine Inspection,Completed,2,1,Normal,6.09,412.21,172.29,100.66,685.16,8.25,Central,Coastal,CUM-500
PM_000081,GEN_0009,2023-11-04,2023-12-01,2023-12-01,Routine Inspection,Completed,27,0,Normal,7.14,448.54,363.27,24.18,835.99,8.54,Central,Coastal,CUM-500
PM_000082,GEN_0009,2024-03-01,2024-03-17,2024-03-17,Load Bank Test,Completed,16,0,Normal,5.33,381.96,264.21,58.87,705.04,8.84,Central,Coastal,CUM-500
PM_000083,GEN_0009,2024-06-17,2024-06-18,2024-06-18,Load Bank Test,Completed,1,1,Normal,5.83,326.39,135.95,25.9,488.24,9.09,Central,Coastal,CUM-500
PM_000084,GEN_0009,2024-09-25,2024-10-12,2024-10-12,Oil & Filter,Completed,17,0,Normal,2.78,253.63,304.21,30.42,588.26,9.41,Central,Coastal,CUM-500
PM_000085,GEN_0009,2025-01-01,2025-01-10,2025-01-10,Oil & Filter,Completed,9,0,Normal,7.66,672.52,112.52,33.53,818.57,9.65,Central,Coastal,CUM-500
PM_000086,GEN_0009,2025-04-06,2025-04-12,2025-04-12,Load Bank Test,Completed,6,1,Normal,8.82,743.09,177.83,33.6,954.52,9.91,Central,Coastal,CUM-500
PM_000087,GEN_0009,2025-07-07,2025-07-02,2025-07-02,Load Bank Test,Completed,-5,1,Normal,3.02,248.91,91.56,22.51,362.98,10.13,Central,Coastal,CUM-500
PM_000088,GEN_0009,2025-09-22,2025-10-02,2025-10-02,Oil & Filter,Completed,10,0,Normal,7.41,622.3,60.16,17.17,699.63,10.38,Central,Coastal,CUM-500
PM_000089,GEN_0009,2025-12-27,2026-01-20,2026-01-20,Routine Inspection,Completed,24,0,Normal,4.68,366.19,214.33,34.58,615.1,10.68,Central,Coastal,CUM-500
PM_000090,GEN_0010,2023-03-05,2023-03-11,2023-03-11,Oil & Filter,Completed,6,1,Normal,7.98,597.77,288.18,0.0,885.95,2.54,West,Coastal,GENX-550
PM_000091,GEN_0010,2023-06-13,2023-06-20,2023-06-20,Oil & Filter,Completed,7,1,Normal,6.6,431.63,241.0,28.3,700.93,2.82,West,Coastal,GENX-550
PM_000092,GEN_0010,2023-09-08,2023-09-20,2023-09-20,Load Bank Test,Completed,12,0,Normal,6.39,571.92,271.95,32.18,876.05,3.07,West,Coastal,GENX-550
PM_000093,GEN_0010,2023-12-12,2024-01-05,2024-01-05,Quarterly Service,Completed,24,0,Normal,7.48,542.51,389.76,0.0,932.27,3.36,West,Coastal,GENX-550
PM_000094,GEN_0010,2024-04-02,2024-04-26,2024-04-26,Quarterly Service,Completed,24,0,Normal,5.96,490.34,156.02,17.15,663.51,3.67,West,Coastal,GENX-550
PM_000095,GEN_0010,2024-07-20,2024-07-20,2024-07-20,Routine Inspection,Completed,0,1,Normal,5.99,554.38,90.33,0.0,644.71,3.9,West,Coastal,GENX-550
PM_000096,GEN_0010,2024-10-28,2024-11-11,2024-11-11,Load Bank Test,Completed,14,0,Normal,6.49,577.15,269.74,102.0,948.89,4.21,West,Coastal,GENX-550
PM_000097,GEN_0010,2025-02-09,2025-02-09,2025-02-09,Load Bank Test,Completed,0,1,Normal,5.12,452.7,170.29,87.76,710.75,4.46,West,Coastal,GENX-550
PM_000098,GEN_0010,2025-05-11,2025-05-06,2025-05-06,Quarterly Service,Completed,-5,1,Normal,4.98,437.09,318.39,39.63,795.11,4.7,West,Coastal,GENX-550
PM_000099,GEN_0010,2025-08-04,2025-08-20,2025-08-20,Oil & Filter,Completed,16,0,Normal,6.08,556.89,170.11,57.28,784.28,4.99,West,Coastal,GENX-550
PM_000100,GEN_0010,2025-11-24,2025-12-06,2025-12-06,Oil & Filter,Completed,12,0,Normal,4.96,465.41,198.6,62.36,726.37,5.28,West,Coastal,GENX-550
PM_000101,GEN_0011,2023-03-15,2023-03-28,2023-03-28,Oil & Filter,Completed,13,0,Normal,4.96,312.68,236.52,17.86,567.06,0.1,Central,Rural,CAT-450
PM_000102,GEN_0011,2023-06-27,2023-07-01,2023-07-01,Oil & Filter,Completed,4,1,Normal,5.22,298.77,207.34,67.76,573.87,0.1,Central,Rural,CAT-450
PM_000103,GEN_0011,2023-10-10,2023-10-05,2023-10-05,Quarterly Service,Completed,-5,1,Normal,3.1,221.07,176.92,22.55,420.54,0.1,Central,Rural,CAT-450
PM_000104,GEN_0011,2023-12-24,2024-01-15,2024-01-15,Load Bank Test,Completed,22,0,Normal,5.69,519.66,268.91,36.37,824.94,0.1,Central,Rural,CAT-450
PM_000105,GEN_0011,2024-04-22,2024-04-22,2024-04-22,Routine Inspection,Completed,0,1,Normal,3.8,302.16,252.19,21.4,575.75,0.1,Central,Rural,CAT-450
PM_000106,GEN_0011,2024-07-19,2024-07-27,2024-07-27,Load Bank Test,Completed,8,0,Normal,8.04,645.04,226.04,42.51,913.59,0.1,Central,Rural,CAT-450
PM_000107,GEN_0011,2024-11-05,2024-11-08,2024-11-08,Oil & Filter,Completed,3,1,Normal,3.95,291.69,164.0,55.1,510.79,0.1,Central,Rural,CAT-450
PM_000108,GEN_0011,2025-02-14,2025-02-25,2025-02-25,Routine Inspection,Completed,11,0,Normal,6.26,547.25,86.63,20.75,654.63,0.23,Central,Rural,CAT-450
PM_000109,GEN_0011,2025-05-25,2025-05-21,2025-05-21,Quarterly Service,Completed,-4,1,Normal,8.38,638.82,146.11,44.96,829.89,0.47,Central,Rural,CAT-450
PM_000110,GEN_0011,2025-08-25,2025-09-10,2025-09-10,Oil & Filter,Completed,16,0,Normal,5.28,356.9,142.75,66.98,566.63,0.77,Central,Rural,CAT-450
PM_000111,GEN_0011,2025-12-21,2026-01-16,2026-01-16,Quarterly Service,Completed,26,0,Normal,3.24,182.79,86.64,9.1,278.53,1.12,Central,Rural,CAT-450
PM_000112,GEN_0012,2023-02-21,2023-02-28,2023-02-28,Oil & Filter,Completed,7,1,Normal,6.0,422.96,188.83,30.46,642.25,3.11,West,Urban,KOH-400
PM_000113,GEN_0012,2023-07-10,2023-07-11,2023-07-11,Oil & Filter,Completed,1,1,Normal,5.5,504.66,223.54,42.54,770.74,3.48,West,Urban,KOH-400
PM_000114,GEN_0012,2023-11-11,2023-11-10,2023-11-10,Quarterly Service,Completed,-1,1,Normal,9.96,615.23,78.53,39.63,733.39,3.81,West,Urban,KOH-400
PM_000115,GEN_0012,2024-03-12,2024-03-11,2024-03-11,Routine Inspection,Completed,-1,1,Normal,1.92,155.99,187.11,22.07,365.17,4.15,West,Urban,KOH-400
PM_000116,GEN_0012,2024-07-14,2024-07-23,2024-07-23,Oil & Filter,Completed,9,0,Normal,5.68,479.8,243.43,32.32,755.55,4.51,West,Urban,KOH-400
PM_000117,GEN_0012,2024-11-15,2024-11-12,2024-11-12,Oil & Filter,Completed,-3,1,Normal,2.96,214.88,36.21,60.53,311.62,4.82,West,Urban,KOH-400
PM_000118,GEN_0012,2025-03-08,2025-03-08,2025-03-08,Routine Inspection,Completed,0,1,Normal,2.82,237.73,215.14,14.44,467.31,5.14,West,Urban,KOH-400
PM_000119,GEN_0012,2025-06-26,2025-06-21,2025-06-21,Routine Inspection,Completed,-5,1,Normal,8.06,528.55,149.96,21.97,700.48,5.42,West,Urban,KOH-400
PM_000120,GEN_0012,2025-10-16,2025-10-31,2025-10-31,Routine Inspection,Completed,15,0,Normal,4.45,289.62,216.2,21.25,527.07,5.79,West,Urban,KOH-400
PM_000121,GEN_0013,2023-02-25,2023-02-20,2023-02-20,Routine Inspection,Completed,-5,1,High,6.53,364.32,161.7,46.24,572.26,0.43,Central,Urban,CAT-450
PM_000122,GEN_0013,2023-05-12,2023-05-20,2023-05-20,Routine Inspection,Completed,8,0,High,6.56,373.08,126.63,30.43,530.14,0.67,Central,Urban,CAT-450
PM_000123,GEN_0013,2023-08-23,2023-08-18,2023-08-18,Load Bank Test,Completed,-5,1,High,6.01,355.21,104.08,0.0,459.29,0.92,Central,Urban,CAT-450
PM_000124,GEN_0013,2023-11-26,2023-11-27,2023-11-27,Oil & Filter,Completed,1,1,High,5.31,306.11,181.92,29.63,517.66,1.19,Central,Urban,CAT-450
PM_000125,GEN_0013,2024-02-21,2024-02-23,2024-02-23,Oil & Filter,Completed,2,1,High,7.19,439.88,78.72,8.3,526.9,1.43,Central,Urban,CAT-450
PM_000126,GEN_0013,2024-05-29,2024-05-26,2024-05-26,Load Bank Test,Completed,-3,1,High,8.36,580.36,123.7,16.94,721.0,1.69,Central,Urban,CAT-450
PM_000127,GEN_0013,2024-09-01,2024-09-07,2024-09-07,Oil & Filter,Completed,6,1,High,3.09,187.97,163.41,39.55,390.93,1.97,Central,Urban,CAT-450
PM_000128,GEN_0013,2024-12-11,2024-12-18,2024-12-18,Oil & Filter,Completed,7,1,High,3.64,240.46,203.02,0.0,443.48,2.25,Central,Urban,CAT-450
PM_000129,GEN_0013,2025-03-29,2025-03-24,2025-03-24,Load Bank Test,Completed,-5,1,High,6.55,398.01,275.55,28.15,701.71,2.52,Central,Urban,CAT-450
PM_000130,GEN_0013,2025-06-11,2025-07-10,2025-07-10,Oil & Filter,Completed,29,0,High,6.45,551.11,205.08,0.0,756.19,2.81,Central,Urban,CAT-450
PM_000131,GEN_0013,2025-10-12,2025-10-21,2025-10-21,Routine Inspection,Completed,9,0,High,4.13,361.36,133.59,27.11,522.06,3.09,Central,Urban,CAT-450
PM_000132,GEN_0014,2023-03-08,2023-03-03,2023-03-03,Routine Inspection,Completed,-5,1,Normal,5.39,435.32,64.75,45.05,545.12,6.51,Central,Urban,GENX-550
PM_000133,GEN_0014,2023-06-07,2023-06-05,2023-06-05,Routine Inspection,Completed,-2,1,Normal,4.55,402.33,167.95,42.77,613.05,6.77,Central,Urban,GENX-550
PM_000134,GEN_0014,2023-09-05,2023-09-17,2023-09-17,Oil & Filter,Completed,12,0,Normal,2.27,132.46,91.44,74.33,298.23,7.05,Central,Urban,GENX-550
PM_000135,GEN_0014,2023-12-12,2023-12-17,2023-12-17,Quarterly Service,Completed,5,1,Normal,5.12,378.7,211.47,30.1,620.27,7.3,Central,Urban,GENX-550
PM_000136,GEN_0014,2024-03-04,2024-03-08,2024-03-08,Load Bank Test,Completed,4,1,Normal,7.9,470.16,421.93,25.67,917.76,7.52,Central,Urban,GENX-550
PM_000137,GEN_0014,2024-05-29,2024-05-30,2024-05-30,Oil & Filter,Completed,1,1,Normal,6.97,408.24,115.82,17.47,541.53,7.75,Central,Urban,GENX-550
PM_000138,GEN_0014,2024-08-19,2024-09-06,2024-09-06,Oil & Filter,Completed,18,0,Normal,6.76,478.67,234.55,0.0,713.22,8.02,Central,Urban,GENX-550
PM_000139,GEN_0014,2024-12-07,2024-12-05,2024-12-05,Load Bank Test,Completed,-2,1,Normal,6.01,510.12,171.88,63.68,745.68,8.27,Central,Urban,GENX-550
PM_000140,GEN_0014,2025-03-12,2025-03-16,2025-03-16,Oil & Filter,Completed,4,1,Normal,4.89,375.59,73.05,47.98,496.62,8.54,Central,Urban,GENX-550
PM_000141,GEN_0014,2025-06-10,2025-06-07,2025-06-07,Load Bank Test,Completed,-3,1,Normal,5.75,359.95,196.08,71.7,627.73,8.77,Central,Urban,GENX-550
PM_000142,GEN_0014,2025-09-14,2025-10-02,2025-10-02,Routine Inspection,Completed,18,0,Normal,4.09,349.99,175.41,62.3,587.7,9.09,Central,Urban,GENX-550
PM_000143,GEN_0014,2025-12-29,2026-01-02,2026-01-02,Load Bank Test,Completed,4,1,Normal,8.76,485.97,85.68,0.84,572.49,9.34,Central,Urban,GENX-550
PM_000144,GEN_0015,2023-03-10,2023-04-02,2023-04-02,Oil & Filter,Completed,23,0,Normal,5.81,516.56,230.47,70.64,817.67,4.59,West,Hot-Dry,CAT-450
PM_000145,GEN_0015,2023-09-18,2023-10-10,2023-10-10,Oil & Filter,Completed,22,0,Normal,2.87,186.05,208.7,0.0,394.75,5.11,West,Hot-Dry,CAT-450
PM_000146,GEN_0015,2024-03-27,2024-03-28,2024-03-28,Load Bank Test,Completed,1,1,Normal,4.46,343.52,114.67,61.1,519.29,5.58,West,Hot-Dry,CAT-450
PM_000147,GEN_0015,2024-10-06,2024-10-03,2024-10-03,Load Bank Test,Completed,-3,1,Normal,5.22,389.09,87.51,30.97,507.57,6.1,West,Hot-Dry,CAT-450
PM_000148,GEN_0015,2025-03-26,2025-03-25,2025-03-25,Quarterly Service,Completed,-1,1,Normal,6.5,514.36,226.13,29.63,770.12,6.57,West,Hot-Dry,CAT-450
PM_000149,GEN_0015,2025-09-14,2025-09-29,2025-09-29,Quarterly Service,Completed,15,0,Normal,5.87,476.05,355.52,25.44,857.01,7.09,West,Hot-Dry,CAT-450
PM_000150,GEN_0016,2023-02-27,2023-03-06,2023-03-06,Load Bank Test,Completed,7,1,Normal,9.5,675.54,128.94,81.77,886.25,0.81,South,Rural,GENX-550
PM_000151,GEN_0016,2023-06-11,2023-06-09,2023-06-09,Quarterly Service,Completed,-2,1,Normal,3.26,240.68,147.33,33.24,421.25,1.07,South,Rural,GENX-550
